Source,Invoice No,Date,Due Date,Shipment,Consol,PO,Containers,Consignor,Origin,Destination,ETA,Total Pkgs,Charge Code,Description,Standardised Description,Details,Qty,Currency,Rate,Conversion Rate,GST Y/N,Amount (Ex GST),GST,Amount (Inc GST),Invoice Total (Ex GST),Invoice Total (Inc GST)
AFER,S00005442,21-Jun-25,30-Jul-25,S00005442,C00004599,4011,PCIU1301009 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Sydney,20-Jun-25,2650,,Delivery Order Fee,Delivery Order Fee,,1.0,AUD,150.0,1.0,Y,150.0,15.0,165.0,4183.73,4393.68
AFER,S00005442,21-Jun-25,30-Jul-25,S00005442,C00004599,4011,PCIU1301009 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Sydney,20-Jun-25,2650,,International Freight,International Freight,MAY FRT USD700 PIL,1.0,USD,1146.23,0.610698,N,1146.23,0.0,1146.23,4183.73,4393.68
AFER,S00005442,21-Jun-25,30-Jul-25,S00005442,C00004599,4011,PCIU1301009 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Sydney,20-Jun-25,2650,,Destination Terminal Handling Charges,Destination Terminal Handling Charges,,1.0,AUD,720.0,1.0,N,720.0,0.0,720.0,4183.73,4393.68
AFER,S00005442,21-Jun-25,30-Jul-25,S00005442,C00004599,4011,PCIU1301009 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Sydney,20-Jun-25,2650,,Quarantine Processing Charge,Customs Disbursements,,1.0,AUD,66.0,1.0,N,66.0,0.0,66.0,4183.73,4393.68
AFER,S00005442,21-Jun-25,30-Jul-25,S00005442,C00004599,4011,PCIU1301009 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Sydney,20-Jun-25,2650,,Import Processing Charges,Customs Disbursements,,1.0,AUD,152.0,1.0,N,152.0,0.0,152.0,4183.73,4393.68
AFER,S00005442,21-Jun-25,30-Jul-25,S00005442,C00004599,4011,PCIU1301009 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Sydney,20-Jun-25,2650,,Destination Customs Clearance,Customs Clearance Fee,,1.0,AUD,135.0,1.0,Y,135.0,13.5,148.5,4183.73,4393.68
AFER,S00005442,21-Jun-25,30-Jul-25,S00005442,C00004599,4011,PCIU1301009 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Sydney,20-Jun-25,2650,,Delivery Cartage,Cartage,,1.0,AUD,870.0,1.0,Y,870.0,87.0,957.0,4183.73,4393.68
AFER,S00005442,21-Jun-25,30-Jul-25,S00005442,C00004599,4011,PCIU1301009 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Sydney,20-Jun-25,2650,,Delivery Cartage Booking Fees,Delivery Booking Fees,,1.0,AUD,677.0,1.0,Y,677.0,67.7,744.7,4183.73,4393.68
AFER,S00005442,21-Jun-25,30-Jul-25,S00005442,C00004599,4011,PCIU1301009 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Sydney,20-Jun-25,2650,,Delivery Fuel Surcharge,Cartage Fuel Levy,,1.0,AUD,217.5,1.0,Y,217.5,21.75,239.25,4183.73,4393.68
AFER,S00005442,21-Jun-25,30-Jul-25,S00005442,C00004599,4011,PCIU1301009 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Sydney,20-Jun-25,2650,,Destination Sea Cargo Automation Fee,Sea Cargo Automation Fee,,1.0,AUD,50.0,1.0,Y,50.0,5.0,55.0,4183.73,4393.68
AFER,S00005465,26-Jun-25,30-Jul-25,S00005465,C00004615,4035,PCIU2860260 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Fremantle,25-Jun-25,2650,,International Freight,International Freight,JUM FRT USD700 PIL,1.0,USD,1131.62,0.618582,N,1131.62,0.0,1131.62,3562.12,3711.37
AFER,S00005465,26-Jun-25,30-Jul-25,S00005465,C00004615,4035,PCIU2860260 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Fremantle,25-Jun-25,2650,,Delivery Order Fee,Delivery Order Fee,,1.0,AUD,150.0,1.0,Y,150.0,15.0,165.0,3562.12,3711.37
AFER,S00005465,26-Jun-25,30-Jul-25,S00005465,C00004615,4035,PCIU2860260 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Fremantle,25-Jun-25,2650,,Destination Terminal Handling Charges,Destination Terminal Handling Charges,,1.0,AUD,720.0,1.0,N,720.0,0.0,720.0,3562.12,3711.37
AFER,S00005465,26-Jun-25,30-Jul-25,S00005465,C00004615,4035,PCIU2860260 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Fremantle,25-Jun-25,2650,,Quarantine Processing Charge,Customs Disbursements,,1.0,AUD,66.0,1.0,N,66.0,0.0,66.0,3562.12,3711.37
AFER,S00005465,26-Jun-25,30-Jul-25,S00005465,C00004615,4035,PCIU2860260 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Fremantle,25-Jun-25,2650,,Import Processing Charges,Customs Disbursements,,1.0,AUD,152.0,1.0,N,152.0,0.0,152.0,3562.12,3711.37
AFER,S00005465,26-Jun-25,30-Jul-25,S00005465,C00004615,4035,PCIU2860260 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Fremantle,25-Jun-25,2650,,Destination Customs Clearance,Customs Clearance Fee,,1.0,AUD,135.0,1.0,Y,135.0,13.5,148.5,3562.12,3711.37
AFER,S00005465,26-Jun-25,30-Jul-25,S00005465,C00004615,4035,PCIU2860260 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Fremantle,25-Jun-25,2650,,Delivery Cartage,Cartage,,1.0,AUD,575.0,1.0,Y,575.0,57.5,632.5,3562.12,3711.37
AFER,S00005465,26-Jun-25,30-Jul-25,S00005465,C00004615,4035,PCIU2860260 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Fremantle,25-Jun-25,2650,,Delivery Cartage Booking Fees,Delivery Booking Fees,,1.0,AUD,410.0,1.0,Y,410.0,41.0,451.0,3562.12,3711.37
AFER,S00005465,26-Jun-25,30-Jul-25,S00005465,C00004615,4035,PCIU2860260 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Fremantle,25-Jun-25,2650,,Delivery Fuel Surcharge,Cartage Fuel Levy,,1.0,AUD,172.5,1.0,Y,172.5,17.25,189.75,3562.12,3711.37
AFER,S00005465,26-Jun-25,30-Jul-25,S00005465,C00004615,4035,PCIU2860260 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Fremantle,25-Jun-25,2650,,Destination Sea Cargo Automation Fee,Sea Cargo Automation Fee,,1.0,AUD,50.0,1.0,Y,50.0,5.0,55.0,3562.12,3711.37
AFER,S00005407,26-Jun-25,30-Jul-25,S00005407,C00004569,4041,"PCIU0152765 (20GP), PCIU1270443 (20GP)",V.U.A AGRICULTURE CORP H2COCO PTY LTD,Cat Lai,Sydney,22-Jun-25,2816,,Quarantine Processing Charge,Customs Disbursements,,1.0,AUD,66.0,1.0,N,66.0,0.0,66.0,7785.25,8171.65
AFER,S00005407,26-Jun-25,30-Jul-25,S00005407,C00004569,4041,"PCIU0152765 (20GP), PCIU1270443 (20GP)",V.U.A AGRICULTURE CORP H2COCO PTY LTD,Cat Lai,Sydney,22-Jun-25,2816,,Import Processing Charges,Customs Disbursements,,1.0,AUD,152.0,1.0,N,152.0,0.0,152.0,7785.25,8171.65
AFER,S00005407,26-Jun-25,30-Jul-25,S00005407,C00004569,4041,"PCIU0152765 (20GP), PCIU1270443 (20GP)",V.U.A AGRICULTURE CORP H2COCO PTY LTD,Cat Lai,Sydney,22-Jun-25,2816,,Destination Customs Clearance,Customs Clearance Fee,,1.0,AUD,135.0,1.0,Y,135.0,13.5,148.5,7785.25,8171.65
AFER,S00005407,26-Jun-25,30-Jul-25,S00005407,C00004569,4041,"PCIU0152765 (20GP), PCIU1270443 (20GP)",V.U.A AGRICULTURE CORP H2COCO PTY LTD,Cat Lai,Sydney,22-Jun-25,2816,,International Freight,International Freight,MAY FRT USD700,2.0,USD,1131.62,0.30929,N,2263.25,0.0,2263.25,7785.25,8171.65
AFER,S00005407,26-Jun-25,30-Jul-25,S00005407,C00004569,4041,"PCIU0152765 (20GP), PCIU1270443 (20GP)",V.U.A AGRICULTURE CORP H2COCO PTY LTD,Cat Lai,Sydney,22-Jun-25,2816,,Delivery Order Fee,Delivery Order Fee,,1.0,AUD,150.0,1.0,Y,150.0,15.0,165.0,7785.25,8171.65
AFER,S00005407,26-Jun-25,30-Jul-25,S00005407,C00004569,4041,"PCIU0152765 (20GP), PCIU1270443 (20GP)",V.U.A AGRICULTURE CORP H2COCO PTY LTD,Cat Lai,Sydney,22-Jun-25,2816,,Destination Terminal Handling Charges,Destination Terminal Handling Charges,,1.0,AUD,1440.0,1.0,N,1440.0,0.0,1440.0,7785.25,8171.65
AFER,S00005407,26-Jun-25,30-Jul-25,S00005407,C00004569,4041,"PCIU0152765 (20GP), PCIU1270443 (20GP)",V.U.A AGRICULTURE CORP H2COCO PTY LTD,Cat Lai,Sydney,22-Jun-25,2816,,Delivery Cartage,Cartage,,2.0,AUD,870.0,1.0,Y,1740.0,174.0,1914.0,7785.25,8171.65
AFER,S00005407,26-Jun-25,30-Jul-25,S00005407,C00004569,4041,"PCIU0152765 (20GP), PCIU1270443 (20GP)",V.U.A AGRICULTURE CORP H2COCO PTY LTD,Cat Lai,Sydney,22-Jun-25,2816,,Delivery Cartage Booking Fees,Delivery Booking Fees,,2.0,AUD,677.0,1.0,Y,1354.0,135.4,1489.4,7785.25,8171.65
AFER,S00005407,26-Jun-25,30-Jul-25,S00005407,C00004569,4041,"PCIU0152765 (20GP), PCIU1270443 (20GP)",V.U.A AGRICULTURE CORP H2COCO PTY LTD,Cat Lai,Sydney,22-Jun-25,2816,,Delivery Fuel Surcharge,Cartage Fuel Levy,,1.0,AUD,435.0,1.0,Y,435.0,43.5,478.5,7785.25,8171.65
AFER,S00005407,26-Jun-25,30-Jul-25,S00005407,C00004569,4041,"PCIU0152765 (20GP), PCIU1270443 (20GP)",V.U.A AGRICULTURE CORP H2COCO PTY LTD,Cat Lai,Sydney,22-Jun-25,2816,,Destination Sea Cargo Automation Fee,Sea Cargo Automation Fee,,2.0,AUD,25.0,1.0,Y,50.0,5.0,55.0,7785.25,8171.65
AFER,S00005486,28-Jun-25,30-Jul-25,S00005486,C00004631,4073,PCIU1135314 (20GP),"CHAU GIANG FOOD PROCESSING TRADE CO.,LTD H2COCO PTY LTD",Cat Lai,Brisbane,30-Jun-25,2960,,International Freight,International Freight,JUN FRT USD700 PIL,1.0,USD,1137.06,0.615623,N,1137.06,0.0,1137.06,3615.06,3769.06
AFER,S00005486,28-Jun-25,30-Jul-25,S00005486,C00004631,4073,PCIU1135314 (20GP),"CHAU GIANG FOOD PROCESSING TRADE CO.,LTD H2COCO PTY LTD",Cat Lai,Brisbane,30-Jun-25,2960,,Delivery Order Fee,Delivery Order Fee,,1.0,AUD,150.0,1.0,Y,150.0,15.0,165.0,3615.06,3769.06
AFER,S00005486,28-Jun-25,30-Jul-25,S00005486,C00004631,4073,PCIU1135314 (20GP),"CHAU GIANG FOOD PROCESSING TRADE CO.,LTD H2COCO PTY LTD",Cat Lai,Brisbane,30-Jun-25,2960,,Destination Terminal Handling Charges,Destination Terminal Handling Charges,,1.0,AUD,720.0,1.0,N,720.0,0.0,720.0,3615.06,3769.06
AFER,S00005486,28-Jun-25,30-Jul-25,S00005486,C00004631,4073,PCIU1135314 (20GP),"CHAU GIANG FOOD PROCESSING TRADE CO.,LTD H2COCO PTY LTD",Cat Lai,Brisbane,30-Jun-25,2960,,Quarantine Processing Charge,Customs Disbursements,,1.0,AUD,66.0,1.0,N,66.0,0.0,66.0,3615.06,3769.06
